site_name,year,common_name,species_name,total_count
  Eerwah Vale,2018,  Graceful Tree Frog,Chlorohyla gracilenta,2
  Mt.Coolum (Yaroomba Bushland Section),2018,  Wallum Sedge Frog,Drymomantis olongburensis,2
Mt.Coolum (Yaroomba Bushland Section),2018,  Tyler's Tree Frog,Pengilleyia tyleri,10
  Dulong,2018,Stony Creek Frog,Rhyaconastes wilcoxii,8
  Eerwah Vale,2018,Stony Creek Frog,Rhyaconastes wilcoxii,2
  Dulong,2018,  Great Barred Frog,  Mixophyes fasciolatus,2
  Dulong,2018,  Giant Barred Frog,Mixophyes iteratus,2
  Mt.Coolum (Yaroomba Bushland Section),2018,Copper-Backed Brood Frog,Pseudophryne raveni,5
  Mt.Coolum (Yaroomba Bushland Section),2018,Cane Toad,Rhinella marina,7
  Dulong,2018,Cane Toad,Rhinella marina,5
  Eerwah Vale,2018,Cane Toad,Rhinella marina,36
  Sippy Downs,2018,Cane Toad,Rhinella marina,116
Mt.Coolum (Yaroomba Bushland Section),2018,Cane Toad,Rhinella marina,5
  Dulong,2019,  Tusked Frog,  Adelotus brevis,3
  Mt.Coolum (Yaroomba Bushland Section),2019,  Wallum Froglet,Crinia tinnula,7
  Eerwah Vale,2019,  Striped Marsh Frog,  Limnodynastes peronii,8
  Sippy Downs,2019,  Striped Marsh Frog,  Limnodynastes peronii,8
Mt.Coolum (Yaroomba Bushland Section),2019,  Striped Marsh Frog,  Limnodynastes peronii,38
  Eerwah Vale,2019,  Green Tree Frog,Pelodryas caerulea,4
  Mt.Coolum (Yaroomba Bushland Section),2019,Eastern Sedge Frog,Drymomantis fallax,11
  Dulong,2019,Eastern Sedge Frog,Drymomantis fallax,14
  Eerwah Vale,2019,Eastern Sedge Frog,Drymomantis fallax,22
  Sippy Downs,2019,Eastern Sedge Frog,Drymomantis fallax,39
Mt.Coolum (Yaroomba Bushland Section),2019,Eastern Sedge Frog,Drymomantis fallax,10
  Mt.Coolum (Yaroomba Bushland Section),2019,  Graceful Tree Frog,Chlorohyla gracilenta,2
  Eerwah Vale,2019,  Graceful Tree Frog,Chlorohyla gracilenta,5
Mt.Coolum (Yaroomba Bushland Section),2019,  Graceful Tree Frog,Chlorohyla gracilenta,4
  Mt.Coolum (Yaroomba Bushland Section),2019,  Wallum Sedge Frog,Drymomantis olongburensis,6
  Dulong,2019,Cascade Tree Frog,Dryopsophus pearsoniana,2
  Eerwah Vale,2019,  Peron's Tree Frog,Pengilleyia peronii,3
  Dulong,2019,Stony Creek Frog,Rhyaconastes wilcoxii,17
  Mt.Coolum (Yaroomba Bushland Section),2019,Cane Toad,Rhinella marina,13
  Dulong,2019,Cane Toad,Rhinella marina,4
  Eerwah Vale,2019,Cane Toad,Rhinella marina,45
  Sippy Downs,2019,Cane Toad,Rhinella marina,138
Mt.Coolum (Yaroomba Bushland Section),2019,Cane Toad,Rhinella marina,35
  Dulong,2020,  Tusked Frog,  Adelotus brevis,2
  Mt.Coolum (Yaroomba Bushland Section),2020,  Striped Marsh Frog,  Limnodynastes peronii,7
  Sippy Downs,2020,  Striped Marsh Frog,  Limnodynastes peronii,22
Mt.Coolum (Yaroomba Bushland Section),2020,  Striped Marsh Frog,  Limnodynastes peronii,38
  Eerwah Vale,2020,  Green Tree Frog,Pelodryas caerulea,2
  Eerwah Vale,2020,  Robust Bleating Tree Frog,  Litoria dentata,2
  Mt.Coolum (Yaroomba Bushland Section),2020,Eastern Sedge Frog,Drymomantis fallax,14
  Dulong,2020,Eastern Sedge Frog,Drymomantis fallax,3
  Eerwah Vale,2020,Eastern Sedge Frog,Drymomantis fallax,13
  Sippy Downs,2020,Eastern Sedge Frog,Drymomantis fallax,15
Mt.Coolum (Yaroomba Bushland Section),2020,Eastern Sedge Frog,Drymomantis fallax,44
  Mt.Coolum (Yaroomba Bushland Section),2020,  Wallum Rocket Frog,Litoria freycineti,2
  Mt.Coolum (Yaroomba Bushland Section),2020,  Wallum Sedge Frog,Drymomantis olongburensis,16
Mt.Coolum (Yaroomba Bushland Section),2020,  Wallum Sedge Frog,Drymomantis olongburensis,5
  Mt.Coolum (Yaroomba Bushland Section),2020,  Peron's Tree Frog,Pengilleyia peronii,2
  Eerwah Vale,2020,  Peron's Tree Frog,Pengilleyia peronii,3
Mt.Coolum (Yaroomba Bushland Section),2020,  Peron's Tree Frog,Pengilleyia peronii,19
  Mt.Coolum (Yaroomba Bushland Section),2020,  Tyler's Tree Frog,Pengilleyia tyleri,7
  Eerwah Vale,2020,  Tyler's Tree Frog,Pengilleyia tyleri,2
Mt.Coolum (Yaroomba Bushland Section),2020,  Tyler's Tree Frog,Pengilleyia tyleri,19
  Dulong,2020,Stony Creek Frog,Rhyaconastes wilcoxii,15
  Eerwah Vale,2020,Stony Creek Frog,Rhyaconastes wilcoxii,3
  Mt.Coolum (Yaroomba Bushland Section),2020,Cane Toad,Rhinella marina,48
  Eerwah Vale,2020,Cane Toad,Rhinella marina,14
  Sippy Downs,2020,Cane Toad,Rhinella marina,143
Mt.Coolum (Yaroomba Bushland Section),2020,Cane Toad,Rhinella marina,15
  Mt.Coolum (Yaroomba Bushland Section),2021,  Striped Marsh Frog,  Limnodynastes peronii,8
  Sippy Downs,2021,  Striped Marsh Frog,  Limnodynastes peronii,22
Mt.Coolum (Yaroomba Bushland Section),2021,  Striped Marsh Frog,  Limnodynastes peronii,74
  Mt.Coolum (Yaroomba Bushland Section),2021,  Green Tree Frog,Pelodryas caerulea,2
  Mt.Coolum (Yaroomba Bushland Section),2021,Eastern Sedge Frog,Drymomantis fallax,77
  Sippy Downs,2021,Eastern Sedge Frog,Drymomantis fallax,34
Mt.Coolum (Yaroomba Bushland Section),2021,Eastern Sedge Frog,Drymomantis fallax,56
  Mt.Coolum (Yaroomba Bushland Section),2021,  Graceful Tree Frog,Chlorohyla gracilenta,3
  Mt.Coolum (Yaroomba Bushland Section),2021,  Wallum Sedge Frog,Drymomantis olongburensis,17
Mt.Coolum (Yaroomba Bushland Section),2021,  Tyler's Tree Frog,Pengilleyia tyleri,39
  Mt.Coolum (Yaroomba Bushland Section),2021,Cane Toad,Rhinella marina,14
  Sippy Downs,2021,Cane Toad,Rhinella marina,41
Mt.Coolum (Yaroomba Bushland Section),2021,Cane Toad,Rhinella marina,35
  Dulong,2022,  Tusked Frog,  Adelotus brevis,3
  Mt.Coolum (Yaroomba Bushland Section),2022,  Wallum Froglet,Crinia tinnula,2
  Sippy Downs,2022,  Wallum Froglet,Crinia tinnula,3
  Mt.Coolum (Yaroomba Bushland Section),2022,  Striped Marsh Frog,  Limnodynastes peronii,3
  Sippy Downs,2022,  Striped Marsh Frog,  Limnodynastes peronii,11
Mt.Coolum (Yaroomba Bushland Section),2022,  Striped Marsh Frog,  Limnodynastes peronii,85
Mt.Coolum (Yaroomba Bushland Section),2022,  Green Tree Frog,Pelodryas caerulea,2
  Mt.Coolum (Yaroomba Bushland Section),2022,Eastern Sedge Frog,Drymomantis fallax,49
  Dulong,2022,Eastern Sedge Frog,Drymomantis fallax,14
  Sippy Downs,2022,Eastern Sedge Frog,Drymomantis fallax,42
Mt.Coolum (Yaroomba Bushland Section),2022,Eastern Sedge Frog,Drymomantis fallax,52
  Mt.Coolum (Yaroomba Bushland Section),2022,  Graceful Tree Frog,Chlorohyla gracilenta,3
Mt.Coolum (Yaroomba Bushland Section),2022,  Graceful Tree Frog,Chlorohyla gracilenta,7
  Mt.Coolum (Yaroomba Bushland Section),2022,  Wallum Sedge Frog,Drymomantis olongburensis,2
Mt.Coolum (Yaroomba Bushland Section),2022,  Tyler's Tree Frog,Pengilleyia tyleri,43
  Dulong,2022,Stony Creek Frog,Rhyaconastes wilcoxii,10
  Dulong,2022,  Great Barred Frog,  Mixophyes fasciolatus,8
  Dulong,2022,  Giant Barred Frog,Mixophyes iteratus,3
  Mt.Coolum (Yaroomba Bushland Section),2022,Cane Toad,Rhinella marina,5
  Sippy Downs,2022,Cane Toad,Rhinella marina,19
Mt.Coolum (Yaroomba Bushland Section),2022,Cane Toad,Rhinella marina,32
  Dulong,2023,  Tusked Frog,  Adelotus brevis,3
Maroochy Bushland Botanic Regional Garden (MBBRG),2023,  Tusked Frog,  Adelotus brevis,5
  Mt.Coolum (Yaroomba Bushland Section),2023,  Wallum Froglet,Crinia tinnula,3
  Mt.Coolum (Yaroomba Bushland Section),2023,  Striped Marsh Frog,  Limnodynastes peronii,2
  Sippy Downs,2023,  Striped Marsh Frog,  Limnodynastes peronii,4
Mt.Coolum (Yaroomba Bushland Section),2023,  Striped Marsh Frog,  Limnodynastes peronii,6
  Mt.Coolum (Yaroomba Bushland Section),2023,Eastern Sedge Frog,Drymomantis fallax,23
  Dulong,2023,Eastern Sedge Frog,Drymomantis fallax,3
  Sippy Downs,2023,Eastern Sedge Frog,Drymomantis fallax,30
Mt.Coolum (Yaroomba Bushland Section),2023,Eastern Sedge Frog,Drymomantis fallax,4
  Mt.Coolum (Yaroomba Bushland Section),2023,  Wallum Sedge Frog,Drymomantis olongburensis,34
Maroochy Bushland Botanic Regional Garden (MBBRG),2023,  Tyler's Tree Frog,Pengilleyia tyleri,2
  Dulong,2023,Stony Creek Frog,Rhyaconastes wilcoxii,9
  Dulong,2023,  Great Barred Frog,  Mixophyes fasciolatus,3
Maroochy Bushland Botanic Regional Garden (MBBRG),2023,  Great Barred Frog,  Mixophyes fasciolatus,6
Maroochy Bushland Botanic Regional Garden (MBBRG),2023,  Great Barred Frog,  Mixophyes fasciolatus,2
  Dulong,2023,  Giant Barred Frog,Mixophyes iteratus,4
  Mt.Coolum (Yaroomba Bushland Section),2023,Cane Toad,Rhinella marina,6
Maroochy Bushland Botanic Regional Garden (MBBRG),2023,Cane Toad,Rhinella marina,21
  Sippy Downs,2023,Cane Toad,Rhinella marina,21
Mt.Coolum (Yaroomba Bushland Section),2023,Cane Toad,Rhinella marina,45
  Dulong,2024,  Tusked Frog,  Adelotus brevis,3
Maroochy Bushland Botanic Regional Garden (MBBRG),2024,  Tusked Frog,  Adelotus brevis,6
  Sippy Downs,2024,  Striped Marsh Frog,  Limnodynastes peronii,17
Mt.Coolum (Yaroomba Bushland Section),2024,  Striped Marsh Frog,  Limnodynastes peronii,18
  Mt.Coolum (Yaroomba Bushland Section),2024,Eastern Sedge Frog,Drymomantis fallax,39
  Dulong,2024,Eastern Sedge Frog,Drymomantis fallax,3
  Sippy Downs,2024,Eastern Sedge Frog,Drymomantis fallax,30
Mt.Coolum (Yaroomba Bushland Section),2024,Eastern Sedge Frog,Drymomantis fallax,36
  Mt.Coolum (Yaroomba Bushland Section),2024,  Wallum Sedge Frog,Drymomantis olongburensis,3
Maroochy Bushland Botanic Regional Garden (MBBRG),2024,  Tyler's Tree Frog,Pengilleyia tyleri,4
Mt.Coolum (Yaroomba Bushland Section),2024,  Tyler's Tree Frog,Pengilleyia tyleri,15
  Dulong,2024,Stony Creek Frog,Rhyaconastes wilcoxii,19
  Dulong,2024,  Great Barred Frog,  Mixophyes fasciolatus,6
Maroochy Bushland Botanic Regional Garden (MBBRG),2024,  Great Barred Frog,  Mixophyes fasciolatus,27
  Dulong,2024,  Giant Barred Frog,Mixophyes iteratus,6
  Mt.Coolum (Yaroomba Bushland Section),2024,Cane Toad,Rhinella marina,8
  Dulong,2024,Cane Toad,Rhinella marina,2
Maroochy Bushland Botanic Regional Garden (MBBRG),2024,Cane Toad,Rhinella marina,31
  Sippy Downs,2024,Cane Toad,Rhinella marina,73
Mt.Coolum (Yaroomba Bushland Section),2024,Cane Toad,Rhinella marina,48
  Dulong,2025,  Tusked Frog,  Adelotus brevis,11
  Maleny,2025,  Tusked Frog,  Adelotus brevis,2
Maroochy Bushland Botanic Regional Garden (MBBRG),2025,  Tusked Frog,  Adelotus brevis,5
  Dulong,2025,  Eastern Sign-bearing Froglet,Crinia parinsignifera,6
  Dulong,2025,  Striped Marsh Frog,  Limnodynastes peronii,2
Maroochy Bushland Botanic Regional Garden (MBBRG),2025,  Striped Marsh Frog,  Limnodynastes peronii,7
Mt.Coolum (Yaroomba Bushland Section),2025,  Striped Marsh Frog,  Limnodynastes peronii,5
  Maleny,2025,  Green Tree Frog,Pelodryas caerulea,2
  Mt.Coolum (Yaroomba Bushland Section),2025,Eastern Sedge Frog,Drymomantis fallax,31
  Dulong,2025,Eastern Sedge Frog,Drymomantis fallax,2
Maroochy Bushland Botanic Regional Garden (MBBRG),2025,Eastern Sedge Frog,Drymomantis fallax,2
Mt.Coolum (Yaroomba Bushland Section),2025,Eastern Sedge Frog,Drymomantis fallax,47
  Mt.Coolum (Yaroomba Bushland Section),2025,  Graceful Tree Frog,Chlorohyla gracilenta,3
  Maleny,2025,  Graceful Tree Frog,Chlorohyla gracilenta,3
Maroochy Bushland Botanic Regional Garden (MBBRG),2025,  Graceful Tree Frog,Chlorohyla gracilenta,2
  Mt.Coolum (Yaroomba Bushland Section),2025,  Wallum Sedge Frog,Drymomantis olongburensis,2
Mt.Coolum (Yaroomba Bushland Section),2025,  Peron's Tree Frog,Pengilleyia peronii,2
Mt.Coolum (Yaroomba Bushland Section),2025,Ruddy Tree Frog,Litoria pyrina,3
Mt.Coolum (Yaroomba Bushland Section),2025,  Tyler's Tree Frog,Pengilleyia tyleri,15
  Dulong,2025,Stony Creek Frog,Rhyaconastes wilcoxii,10
  Maleny,2025,Stony Creek Frog,Rhyaconastes wilcoxii,2
  Dulong,2025,  Great Barred Frog,  Mixophyes fasciolatus,17
  Maleny,2025,  Great Barred Frog,  Mixophyes fasciolatus,81
Maroochy Bushland Botanic Regional Garden (MBBRG),2025,  Great Barred Frog,  Mixophyes fasciolatus,9
  Dulong,2025,  Giant Barred Frog,Mixophyes iteratus,12
  Maleny,2025,  Giant Barred Frog,Mixophyes iteratus,46
  Mt.Coolum (Yaroomba Bushland Section),2025,Cane Toad,Rhinella marina,8
  Dulong,2025,Cane Toad,Rhinella marina,6
  Maleny,2025,Cane Toad,Rhinella marina,33
Maroochy Bushland Botanic Regional Garden (MBBRG),2025,Cane Toad,Rhinella marina,11
Mt.Coolum (Yaroomba Bushland Section),2025,Cane Toad,Rhinella marina,54
Maleny,2026,Tusked Frog,Adelotus brevis,3
Dulong,2026,Tusked Frog,Adelotus brevis,5
Maroochy Bushland Botanic Regional Garden (MBBRG),2026,Tusked Frog,Adelotus brevis,2
Maleny,2026,Graceful Tree Frog,Chlorohyla gracilenta,1
Lower Mooloolah River Environment Reserve (LMRER),2026,Eastern Sign-Bearing Froglet,Crinia parinsignifera,1
Lower Mooloolah River Environment Reserve (LMRER),2026,Wallum Froglet,Crinia tinnula,6
Mt.Coolum (Yaroomba Bushland Section),2026,Wallum Froglet,Crinia tinnula,3
Lower Mooloolah River Environment Reserve (LMRER),2026,Eastern Sedge Frog,Drymomantis fallax,8
Dulong,2026,Eastern Sedge Frog,Drymomantis fallax,6
Maroochy Bushland Botanic Regional Garden (MBBRG),2026,Eastern Sedge Frog,Drymomantis fallax,1
Mt.Coolum (Yaroomba Bushland Section),2026,Eastern Sedge Frog,Drymomantis fallax,2
Coolum (Noosa National-Park Peregian Section),2026,Eastern Sedge Frog,Drymomantis fallax,3
Lower Mooloolah River Environment Reserve (LMRER),2026,Wallum Sedge Frog,Drymomantis olongburensis,12
Dulong,2026,Cascade Tree Frog,Dryopsophus pearsoniana,1
Lower Mooloolah River Environment Reserve (LMRER),2026,Striped Marsh Frog,Limnodynastes peronii,33
Mt.Coolum (Yaroomba Bushland Section),2026,Striped Marsh Frog,Limnodynastes peronii,1
Coolum (Noosa National-Park Peregian Section),2026,Striped Marsh Frog,Limnodynastes peronii,1
Lower Mooloolah River Environment Reserve (LMRER),2026,Wallum Rocket Frog,Litoria freycineti,9
,2026,Striped Rocket frog,Litoria nasuta,12
Lower Mooloolah River Environment Reserve (LMRER),2026,Ruddy Tree Frog,Litoria pyrina,2
Maleny,2026,Great Barred Frog,Mixophyes fasciolatus,73
Dulong,2026,Great Barred Frog,Mixophyes fasciolatus,2
Maleny,2026,Giant Barred Frog,Mixophyes iteratus,37
Dulong,2026,Giant Barred Frog,Mixophyes iteratus,22
Lower Mooloolah River Environment Reserve (LMRER),2026,Green Tree Frog,Pelodryas caerulea,1
Coolum (Noosa National-Park Peregian Section),2026,Green Tree Frog,Pelodryas caerulea,1
Lower Mooloolah River Environment Reserve (LMRER),2026,  Tyler's Tree Frog,Pengilleyia tyleri,4
Maroochy Bushland Botanic Regional Garden (MBBRG),2026,  Tyler's Tree Frog,Pengilleyia tyleri,1
Lower Mooloolah River Environment Reserve (LMRER),2026,Copper-Backed Brood Frog,Pseudophryne raveni,43
Lower Mooloolah River Environment Reserve (LMRER),2026,Cane Toad,Rhinella marina,57
Maleny,2026,Cane Toad,Rhinella marina,25
Maroochy Bushland Botanic Regional Garden (MBBRG),2026,Cane Toad,Rhinella marina,10
Mt.Coolum (Yaroomba Bushland Section),2026,Cane Toad,Rhinella marina,13
Coolum (Noosa National-Park Peregian Section),2026,Cane Toad,Rhinella marina,9
Dulong,2026,Stony Creek Frog,Rhyaconastes wilcoxii,8
